dataset,method,target_clean_f1,baseline_asr,defended_asr,asr_reduction,adv_recall,clean_non_vul_fpr,calibration_fpr
openssl,Supervised Gate,0.8292682926829269,0.76,0.12,0.64,0.74,0.10227272727272728,0.1
openssl,Isolation Forest,0.8292682926829269,0.76,0.74,0.020000000000000018,0.08,0.10227272727272728,0.1
openssl,One-Class SVM,0.8292682926829269,0.76,0.74,0.020000000000000018,0.06,0.10227272727272728,0.1
openssl,Local Outlier Factor,0.8292682926829269,0.76,0.74,0.020000000000000018,0.06,0.10227272727272728,0.1
openssl,Mahalanobis,0.8292682926829269,0.76,0.74,0.020000000000000018,0.06,0.10227272727272728,0.1
asterisk,Supervised Gate,0.7692307692307693,0.64,0.36,0.28,0.28,0.1037463976945245,0.1
asterisk,Isolation Forest,0.7692307692307693,0.64,0.54,0.09999999999999998,0.12,0.10086455331412104,0.1
asterisk,One-Class SVM,0.7692307692307693,0.64,0.58,0.06000000000000005,0.1,0.10086455331412104,0.1
asterisk,Local Outlier Factor,0.7692307692307693,0.64,0.56,0.07999999999999996,0.12,0.10086455331412104,0.1
asterisk,Mahalanobis,0.7692307692307693,0.64,0.6,0.040000000000000036,0.16,0.10086455331412104,0.1
