dataset,budget,calibration_n,target_count,threshold,tie_count,inclusive_count,calibration_exact_rate,calibration_inclusive_rate,rounding_gap,tie_overshoot,test_true_benign_review_rate,calibration_to_test_drift,test_review_count,test_review_rate,test_predicted_benign,baseline_clean_f1,adv_n,adv_benign_predictions,adv_captured,adv_capture_rate,residual_silent_bypass_rate
asterisk,0.01,151,2,0.4137234792661625,1,2,0.013245033112582781,0.013245033112582781,0.0032450331125827812,0.0,0.03625377643504532,0.02300874332246254,12,0.0326975476839237,332,0.6909090909090909,50,32,1,0.02,0.62
asterisk,0.03,151,5,0.3949586065390693,1,5,0.033112582781456956,0.033112582781456956,0.0031125827814569573,0.0,0.045317220543806644,0.012204637762349688,15,0.04087193460490463,332,0.6909090909090909,50,32,1,0.02,0.62
asterisk,0.05,151,8,0.3812590801257294,1,8,0.052980132450331126,0.052980132450331126,0.002980132450331123,0.0,0.05740181268882175,0.004421680238490627,20,0.05449591280653951,332,0.6909090909090909,50,32,2,0.04,0.6
asterisk,0.1,151,16,0.30195332408176007,1,16,0.10596026490066225,0.10596026490066225,0.005960264900662246,0.0,0.1148036253776435,0.008843360476981255,39,0.10626702997275204,332,0.6909090909090909,50,32,4,0.08,0.56
asterisk,0.15,151,23,0.22146829224697692,1,23,0.152317880794702,0.152317880794702,0.002317880794701993,0.0,0.24471299093655588,0.09239511014185389,82,0.22343324250681199,332,0.6909090909090909,50,32,7,0.14,0.5
openssl,0.01,77,1,0.4610336037279307,1,1,0.012987012987012988,0.012987012987012988,0.0029870129870129877,0.0,0.024096385542168676,0.011109372555155688,4,0.018779342723004695,168,0.8536585365853658,50,38,0,0.0,0.76
openssl,0.03,77,3,0.44442382348941345,1,3,0.03896103896103896,0.03896103896103896,0.008961038961038961,0.0,0.03614457831325301,-0.0028164606477859497,6,0.028169014084507043,168,0.8536585365853658,50,38,0,0.0,0.76
openssl,0.05,77,4,0.41241436983781005,1,4,0.05194805194805195,0.05194805194805195,0.0019480519480519487,0.0,0.0783132530120482,0.026365201063996244,13,0.06103286384976526,168,0.8536585365853658,50,38,3,0.06,0.7
openssl,0.1,77,8,0.3507446654537834,1,8,0.1038961038961039,0.1038961038961039,0.0038961038961038974,0.0,0.14457831325301204,0.04068220935690814,26,0.12206572769953052,168,0.8536585365853658,50,38,6,0.12,0.64
openssl,0.15,77,12,0.31975819875037764,1,12,0.15584415584415584,0.15584415584415584,0.005844155844155846,0.0,0.22289156626506024,0.0670474104209044,39,0.18309859154929578,168,0.8536585365853658,50,38,9,0.18,0.58
cwe119,0.01,666,7,0.4776296900251914,1,7,0.010510510510510511,0.010510510510510511,0.0005105105105105111,0.0,0.00350385423966363,-0.007006656270846881,7,0.0028559771521827824,1446,0.9432404540763674,200,144,0,0.0,0.72
cwe119,0.03,666,20,0.42669759329823137,1,20,0.03003003003003003,0.03003003003003003,3.003003003003088e-05,0.0,0.023125437981779958,-0.006904592048250072,36,0.014687882496940025,1446,0.9432404540763674,200,144,1,0.005,0.715
cwe119,0.05,666,34,0.3409920234085371,1,34,0.05105105105105105,0.05105105105105105,0.0010510510510510496,0.0,0.0644709180098108,0.01341986695875974,105,0.042839657282741736,1446,0.9432404540763674,200,144,6,0.03,0.69
cwe119,0.1,666,67,0.2917800034490811,1,67,0.1006006006006006,0.1006006006006006,0.0006006006006005898,0.0,0.10091100210231255,0.0003104015017119516,157,0.06405548755609955,1446,0.9432404540763674,200,144,13,0.065,0.655
cwe119,0.15,666,100,0.24048616839977105,1,100,0.15015015015015015,0.15015015015015015,0.00015015015015015787,0.0,0.1702873160476524,0.02013716589750225,256,0.10444716442268462,1446,0.9432404540763674,200,144,21,0.105,0.615
cwe399,0.01,61,1,0.48998068132388106,1,1,0.01639344262295082,0.01639344262295082,0.00639344262295082,0.0,0.037037037037037035,0.020643594414086214,5,0.0196078431372549,155,0.7878787878787878,200,140,0,0.0,0.7
cwe399,0.03,61,2,0.4855946184447763,1,2,0.03278688524590164,0.03278688524590164,0.002786885245901642,0.0,0.05185185185185185,0.01906496660595021,7,0.027450980392156862,155,0.7878787878787878,200,140,0,0.0,0.7
cwe399,0.05,61,4,0.4483021456792284,1,4,0.06557377049180328,0.06557377049180328,0.01557377049180328,0.0,0.1037037037037037,0.03812993321190042,16,0.06274509803921569,155,0.7878787878787878,200,140,1,0.005,0.695
cwe399,0.1,61,7,0.39102113404309136,1,7,0.11475409836065574,0.11475409836065574,0.014754098360655735,0.0,0.16296296296296298,0.048208864602307236,25,0.09803921568627451,155,0.7878787878787878,200,140,13,0.065,0.635
cwe399,0.15,61,10,0.37027888182526264,1,10,0.16393442622950818,0.16393442622950818,0.01393442622950819,0.0,0.2,0.03606557377049183,31,0.12156862745098039,155,0.7878787878787878,200,140,17,0.085,0.615
