budget,analysis,rows,unique_content_hashes,baseline_benign,captured,capture_among_all,capture_among_bypasses
0.01,all_rows,500,453,354,1,0.002,0.002824858757062147
0.01,deduplicated_forward,453,453,319,1,0.002207505518763797,0.003134796238244514
0.01,deduplicated_reverse,453,453,322,0,0.0,0.0
0.03,all_rows,500,453,354,2,0.004,0.005649717514124294
0.03,deduplicated_forward,453,453,319,2,0.004415011037527594,0.006269592476489028
0.03,deduplicated_reverse,453,453,322,1,0.002207505518763797,0.003105590062111801
0.05,all_rows,500,453,354,12,0.024,0.03389830508474576
0.05,deduplicated_forward,453,453,319,9,0.019867549668874173,0.02821316614420063
0.05,deduplicated_reverse,453,453,322,10,0.02207505518763797,0.031055900621118012
0.1,all_rows,500,453,354,36,0.072,0.1016949152542373
0.1,deduplicated_forward,453,453,319,31,0.0684326710816777,0.09717868338557993
0.1,deduplicated_reverse,453,453,322,32,0.0706401766004415,0.09937888198757763
0.15,all_rows,500,453,354,54,0.108,0.15254237288135594
0.15,deduplicated_forward,453,453,319,46,0.10154525386313466,0.14420062695924765
0.15,deduplicated_reverse,453,453,322,47,0.10375275938189846,0.14596273291925466
