dataset,split,n,median_tokens,p95_tokens,fraction_over_256,fraction_over_512
asterisk,train,880,4277.5,14597.899999999996,0.8681818181818182,0.8022727272727272
asterisk,test,367,3893.0,15187.599999999999,0.8392370572207084,0.7901907356948229
asterisk,adv,50,4697.5,12693.55,0.9,0.88
openssl,train,520,1449.5,13321.449999999937,0.8673076923076923,0.7365384615384616
openssl,test,213,1546.0,11444.399999999912,0.8826291079812206,0.7464788732394366
openssl,adv,50,4697.5,12876.699999999999,0.9,0.86
cwe119,train,5670,2151.0,4603.1,0.9998236331569665,0.9252204585537919
cwe119,test,2451,2044.0,4540.0,0.9995920032639739,0.9102407180742554
cwe119,adv,200,1800.5,4497.15,1.0,0.89
cwe399,train,545,2547.0,5460.0,1.0,0.9376146788990826
cwe399,test,255,2356.0,6064.099999999997,1.0,0.9137254901960784
cwe399,adv,200,2192.0,5335.099999999999,1.0,0.93
